hash,english,reason,category
2007397999,+<color=yellow>{0}</color> <color=#FFC0CB>proficiency</color> in {1} (<color=white>{2}%</color>),"token mismatch on strict retry (missing ['5', '7'], unexpected []) [7119895a]",token_mismatch
1407688215,<color=green>{0}</color>x<color=white>{1}</color> received from {2},"token mismatch on strict retry (missing ['4'], unexpected []) [060beb7a]",token_mismatch
2252098529,<color=green>Gold Ore</color>x<color=white>{0}</color> received from {1},"token mismatch on strict retry (missing ['3'], unexpected []) [35857b71]",token_mismatch
3115116616,"<color=green>Gold Ore</color>x<color=white>{0}</color> received from {1}, but it dropped on the ground since your inventory is full.","token mismatch on strict retry (missing ['4'], unexpected []) [060beb7a]",token_mismatch
2972244104,<color=green>Radiant Fiber</color>x<color=white>{0}</color> received from {1},"token mismatch on strict retry (missing ['4'], unexpected []) [060beb7a]",token_mismatch
4110714393,"<color=green>Radiant Fiber</color>x<color=white>{0}</color> received from {1}, but it dropped on the ground since your inventory is full.","token mismatch on strict retry (missing ['4'], unexpected []) [060beb7a]",token_mismatch
3141472524,"<color=green>Bonus Seed(s)</color>x<color=white>{0}</color> received from {1}, but some fell on the ground since your inventory is full.","token mismatch on strict retry (missing ['4'], unexpected []) [060beb7a]",token_mismatch
3665962604,"<color=green>Bonus Saplings(s)</color>x<color=white>{0}</color> received from {1}, but some fell on the ground since your inventory is full.","token mismatch on strict retry (missing ['4'], unexpected []) [060beb7a]",token_mismatch
3324923525,<color=green>Mutant Grease</color>x<color=white>{0}</color> received from {1},"token mismatch on strict retry (missing ['4'], unexpected []) [060beb7a]",token_mismatch
3054245516,"<color=green>Mutant Grease</color>x<color=white>{0}</color> received from {1}, but it dropped on the ground since your inventory is full.","token mismatch on strict retry (missing ['4'], unexpected []) [060beb7a]",token_mismatch
1763623253,New <color=#00FFFF>Daily Quest</color> available: <color=green>{0}</color> <color=white>{1}</color>x<color=#FFC0CB>{2}</color> [<color=white>{3}</color>/<color=yellow>{2}</color>],"token mismatch on strict retry (missing ['4', '6', '7', '8', '10', '11', '12', '13', '14', '15', '16'], unexpected []) [8ae8f114]",token_mismatch
384069927,You've received <color=#ffd9eb>{0}</color>x<color=white>{1}</color> for completing your {2}!,"token mismatch on strict retry (missing ['4'], unexpected []) [060beb7a]",token_mismatch
1884892470,You've received <color=#ffd9eb>{0}</color>x<color=white>{1}</color> for completing your {2}! It dropped on the ground because your inventory was full.,"token mismatch on strict retry (missing ['4'], unexpected []) [060beb7a]",token_mismatch
3158650477,No familiars in battle group!,contains English on strict retry,english
2673031653,Battle Group - {0},identical to source on strict retry,identical
3637474013,<color=green>{0}</color>{1} [<color=white>{2}</color>][<color=#90EE90>{3}</color>] added to <color=white>{4}</color>! (<color=yellow>{5}</color>),"token mismatch on strict retry (missing ['4', '5', '7', '8', '10', '11', '12'], unexpected []) [0819a102]",token_mismatch
3125006928,"Familiar already has <color=#00FFFF>{FamiliarPrestigeStats[value]}</color> (<color=yellow>{value + 1}</color>) from prestiging, use '<color=white>.fam lst</color>' to see options.","token mismatch on strict retry (missing ['3', '6'], unexpected []) [e9f2763e]",token_mismatch
2712718738,Your familiar has prestiged [<color=#90EE90>{prestigeLevel}</color>]; the accumulated knowledge allowed them to retain their level! (+<color=#00FFFF>{FamiliarPrestigeStats[value]}</color>),"token mismatch on strict retry (missing ['2'], unexpected []) [27ca59b5]",token_mismatch
3466860311,Failed to remove enough of the item required (<color=#ffd9eb>{item.GetLocalizedName()}</color>x<color=white>{quantity}</color>),"token mismatch on strict retry (missing ['3', '5'], unexpected []) [010e36c7]",token_mismatch
2147420594,{FormatClassName(playerClass)} stat synergies [x<color=white>{ConfigService.SynergyMultiplier}</color>]:,"token mismatch on strict retry (missing ['3'], unexpected []) [35857b71]",token_mismatch
999548370,{FormatClassName(playerClass)} stat synergies[x<color=white>{ConfigService.SynergyMultiplier}</color>]:,"token mismatch on strict retry (missing ['3'], unexpected []) [35857b71]",token_mismatch
442755566,{FormatClassName(playerClass)} spells:,placeholders only,placeholder
327031724,Active familiar already present in battle group!,contains English on strict retry,english
3729714988,<color=#90EE90>{parsedPrestigeType}</color>[<color=white>{exoPrestiges}</color>] prestige complete!,"token mismatch on strict retry (missing ['4'], unexpected []) [060beb7a]",token_mismatch
2402733055,<color=#90EE90>{parsedPrestigeType}</color>[<color=white>{exoPrestiges}</color>] prestige complete! You have also been awarded with <color=#ffd9eb>{exoReward.GetLocalizedName()}</color>x<color=white>{ConfigService.ExoPrestigeRewardQuantity}</color>!,"token mismatch on strict retry (missing ['4', '11'], unexpected []) [8d0b7066]",token_mismatch
3961332984,<color=#90EE90>{parsedPrestigeType}</color>[<color=white>{exoPrestiges}</color>] prestige complete! You have been awarded with <color=#ffd9eb>{exoReward.GetLocalizedName()}</color>x<color=white>{ConfigService.ExoPrestigeRewardQuantity}</color>! It dropped on the ground becuase your inventory was full though.,"token mismatch on strict retry (missing ['4', '11'], unexpected []) [8d0b7066]",token_mismatch
145841390,You must reach the maximum level in <color=#90EE90>Experience</color> prestige before <color=#90EE90>Exo</color> prestiging.,contains English on strict retry,english
484801240,You have not reached the required level to prestige in <color=#90EE90>{parsedPrestigeType}</color> or are at maximum prestige level.,contains English on strict retry,english
11642316,Current <color=#90EE90>Exo</color> Prestige Level: <color=yellow>{exoLevel}</color>/{PrestigeTypeToMaxPrestiges[parsedPrestigeType]} | Max Form Duration: <color=green>{(int)Shapeshifts.CalculateFormDuration(exoLevel)}</color>s,"token mismatch on strict retry (missing ['8'], unexpected []) [78092408]",token_mismatch
2332227846,You have not prestiged in <color=#90EE90>Exo</color> yet.,contains English on strict retry,english
3706109126,You have not prestiged in <color=#90EE90>{parsedPrestigeType}</color>.,contains English on strict retry,english
3468772905,The maximum level for <color=#90EE90>{parsedPrestigeType}</color> prestige is {PrestigeTypeToMaxPrestiges[parsedPrestigeType]}.,contains English on strict retry,english
3343555659,Player <color=green>{playerInfo.User.CharacterName.Value}</color> has been set to level <color=white>{level}</color> in <color=#90EE90>{parsedPrestigeType}</color> prestige.,"token mismatch on strict retry (missing ['3', '4', '8'], unexpected []) [af69974a]",token_mismatch
1411528307,<color=#90EE90>{parsedPrestigeType}</color> prestige reset for <color=white>{playerInfo.User.CharacterName.Value}</color>.,identical to source on strict retry,identical
830139985,You have not prestiged in <color=#90EE90>{PrestigeType.Experience}</color>.,contains English on strict retry,english
1182925736,No players have prestiged in <color=#90EE90>{parsedPrestigeType}</color> yet!,contains English on strict retry,english
1797973559,Permashroud <color=red>disabled</color>!,identical to source on strict retry,identical
